gen-data-wdl: n=25000 out=/root/jass/jobs/results/0181-selfplay-loop-pilot/artefacts.src/sp-shard-3.jnnw eval_depth=12 play_depth=4 max_plies=200 seed=4 nnue=/root/jass/jobs/results/0181-selfplay-loop-pilot/artefacts.src/champ.pjtw quiet_only=false pv_extract=0
  played 50 games, 1611 / 25000 positions
  played 100 games, 3281 / 25000 positions
  played 150 games, 4819 / 25000 positions
  played 200 games, 6433 / 25000 positions
  played 250 games, 8107 / 25000 positions
  played 300 games, 9678 / 25000 positions
  played 350 games, 11279 / 25000 positions
  played 400 games, 12778 / 25000 positions
  played 450 games, 14324 / 25000 positions
  played 500 games, 15842 / 25000 positions
  played 550 games, 17423 / 25000 positions
  played 600 games, 18967 / 25000 positions
  played 650 games, 20552 / 25000 positions
  played 700 games, 22079 / 25000 positions
  played 750 games, 23667 / 25000 positions
wrote 25000 WDL records to /root/jass/jobs/results/0181-selfplay-loop-pilot/artefacts.src/sp-shard-3.jnnw
