gen-data-wdl: n=37500 out=/root/jass/jobs/results/ccx33-0220-menonly-loop/artefacts.src/sp7-2.jnnw eval_depth=6 play_depth=4 max_plies=200 seed=10134 nnue=/root/jass/jobs/results/ccx33-0220-menonly-loop/artefacts.src/gen6.pjtw quiet_only=false pv_extract=0 movetime_ms=0
  played 50 games, 1606 / 37500 positions
  played 100 games, 3089 / 37500 positions
  played 150 games, 4711 / 37500 positions
  played 200 games, 6256 / 37500 positions
  played 250 games, 7818 / 37500 positions
  played 300 games, 9320 / 37500 positions
  played 350 games, 10886 / 37500 positions
  played 400 games, 12453 / 37500 positions
  played 450 games, 13910 / 37500 positions
  played 500 games, 15542 / 37500 positions
  played 550 games, 17196 / 37500 positions
  played 600 games, 18869 / 37500 positions
  played 650 games, 20488 / 37500 positions
  played 700 games, 22020 / 37500 positions
  played 750 games, 23621 / 37500 positions
  played 800 games, 25222 / 37500 positions
  played 850 games, 26768 / 37500 positions
  played 900 games, 28288 / 37500 positions
  played 950 games, 29807 / 37500 positions
  played 1000 games, 31309 / 37500 positions
  played 1050 games, 32831 / 37500 positions
  played 1100 games, 34334 / 37500 positions
  played 1150 games, 35823 / 37500 positions
  played 1200 games, 37359 / 37500 positions
wrote 37500 WDL records to /root/jass/jobs/results/ccx33-0220-menonly-loop/artefacts.src/sp7-2.jnnw
