gen-data-wdl: n=25000 out=/root/jass/jobs/results/ccx33-0220-menonly-loop/artefacts.src/sp0-6.jnnw eval_depth=6 play_depth=4 max_plies=200 seed=8642 nnue=(default embedded) quiet_only=false pv_extract=0 movetime_ms=0
  played 50 games, 1567 / 25000 positions
  played 100 games, 3101 / 25000 positions
  played 150 games, 4715 / 25000 positions
  played 200 games, 6276 / 25000 positions
  played 250 games, 7924 / 25000 positions
  played 300 games, 9510 / 25000 positions
  played 350 games, 11038 / 25000 positions
  played 400 games, 12564 / 25000 positions
  played 450 games, 14185 / 25000 positions
  played 500 games, 15832 / 25000 positions
  played 550 games, 17419 / 25000 positions
  played 600 games, 18953 / 25000 positions
  played 650 games, 20510 / 25000 positions
  played 700 games, 22052 / 25000 positions
  played 750 games, 23535 / 25000 positions
  played 800 games, 25000 / 25000 positions
wrote 25000 WDL records to /root/jass/jobs/results/ccx33-0220-menonly-loop/artefacts.src/sp0-6.jnnw
