gen-data-wdl: n=187500 out=/root/jass/jobs/results/ccx33-0313-endgame-data-gen/artefacts.src/self-6.jnnw eval_depth=6 play_depth=8 max_plies=200 seed=107886 nnue=(default embedded) quiet_only=false pv_extract=0 movetime_ms=0 label_depth_by_phase=late-mid:12,endgame:16 play_depth_by_phase=late-mid:12,endgame:16
  played 50 games, 1318 / 187500 positions
  played 100 games, 2590 / 187500 positions
  played 150 games, 3893 / 187500 positions
  played 200 games, 5174 / 187500 positions
  played 250 games, 6435 / 187500 positions
  played 300 games, 7711 / 187500 positions
  played 350 games, 8980 / 187500 positions
  played 400 games, 10321 / 187500 positions
  played 450 games, 11616 / 187500 positions
  played 500 games, 12969 / 187500 positions
  played 550 games, 14227 / 187500 positions
  played 600 games, 15503 / 187500 positions
  played 650 games, 16736 / 187500 positions
  played 700 games, 18082 / 187500 positions
  played 750 games, 19389 / 187500 positions
  played 800 games, 20716 / 187500 positions
  played 850 games, 21980 / 187500 positions
  played 900 games, 23265 / 187500 positions
  played 950 games, 24583 / 187500 positions
  played 1000 games, 25862 / 187500 positions
  played 1050 games, 27185 / 187500 positions
  played 1100 games, 28533 / 187500 positions
  played 1150 games, 29854 / 187500 positions
  played 1200 games, 31217 / 187500 positions
  played 1250 games, 32468 / 187500 positions
  played 1300 games, 33799 / 187500 positions
  played 1350 games, 35080 / 187500 positions
  played 1400 games, 36383 / 187500 positions
  played 1450 games, 37667 / 187500 positions
  played 1500 games, 38939 / 187500 positions
  played 1550 games, 40201 / 187500 positions
  played 1600 games, 41494 / 187500 positions
  played 1650 games, 42796 / 187500 positions
  played 1700 games, 44068 / 187500 positions
  played 1750 games, 45443 / 187500 positions
  played 1800 games, 46692 / 187500 positions
  played 1850 games, 48002 / 187500 positions
  played 1900 games, 49321 / 187500 positions
  played 1950 games, 50634 / 187500 positions
  played 2000 games, 51917 / 187500 positions
  played 2050 games, 53249 / 187500 positions
  played 2100 games, 54608 / 187500 positions
  played 2150 games, 55894 / 187500 positions
  played 2200 games, 57253 / 187500 positions
  played 2250 games, 58566 / 187500 positions
  played 2300 games, 59887 / 187500 positions
  played 2350 games, 61222 / 187500 positions
  played 2400 games, 62519 / 187500 positions
  played 2450 games, 63849 / 187500 positions
  played 2500 games, 65189 / 187500 positions
  played 2550 games, 66487 / 187500 positions
  played 2600 games, 67828 / 187500 positions
  played 2650 games, 69073 / 187500 positions
