gen-data-wdl: n=187500 out=/root/jass/jobs/results/ccx33-0313-endgame-data-gen/artefacts.src/self-5.jnnw eval_depth=6 play_depth=8 max_plies=200 seed=5320 nnue=(default embedded) quiet_only=false pv_extract=0 movetime_ms=0 label_depth_by_phase=late-mid:12,endgame:16 play_depth_by_phase=late-mid:12,endgame:16
  played 50 games, 1275 / 187500 positions
  played 100 games, 2531 / 187500 positions
  played 150 games, 3862 / 187500 positions
  played 200 games, 5136 / 187500 positions
  played 250 games, 6458 / 187500 positions
  played 300 games, 7731 / 187500 positions
  played 350 games, 9045 / 187500 positions
  played 400 games, 10340 / 187500 positions
  played 450 games, 11578 / 187500 positions
  played 500 games, 12872 / 187500 positions
  played 550 games, 14195 / 187500 positions
  played 600 games, 15484 / 187500 positions
  played 650 games, 16822 / 187500 positions
  played 700 games, 18139 / 187500 positions
  played 750 games, 19441 / 187500 positions
  played 800 games, 20713 / 187500 positions
  played 850 games, 22038 / 187500 positions
  played 900 games, 23383 / 187500 positions
  played 950 games, 24646 / 187500 positions
  played 1000 games, 25902 / 187500 positions
  played 1050 games, 27204 / 187500 positions
  played 1100 games, 28512 / 187500 positions
  played 1150 games, 29851 / 187500 positions
  played 1200 games, 31138 / 187500 positions
  played 1250 games, 32466 / 187500 positions
  played 1300 games, 33785 / 187500 positions
  played 1350 games, 35079 / 187500 positions
  played 1400 games, 36389 / 187500 positions
  played 1450 games, 37738 / 187500 positions
  played 1500 games, 39034 / 187500 positions
  played 1550 games, 40345 / 187500 positions
  played 1600 games, 41677 / 187500 positions
  played 1650 games, 43005 / 187500 positions
  played 1700 games, 44280 / 187500 positions
  played 1750 games, 45522 / 187500 positions
  played 1800 games, 46854 / 187500 positions
  played 1850 games, 48179 / 187500 positions
  played 1900 games, 49460 / 187500 positions
  played 1950 games, 50764 / 187500 positions
  played 2000 games, 52102 / 187500 positions
  played 2050 games, 53411 / 187500 positions
  played 2100 games, 54708 / 187500 positions
  played 2150 games, 55996 / 187500 positions
  played 2200 games, 57251 / 187500 positions
  played 2250 games, 58564 / 187500 positions
  played 2300 games, 59853 / 187500 positions
  played 2350 games, 61211 / 187500 positions
  played 2400 games, 62507 / 187500 positions
  played 2450 games, 63853 / 187500 positions
  played 2500 games, 65175 / 187500 positions
  played 2550 games, 66480 / 187500 positions
  played 2600 games, 67800 / 187500 positions
  played 2650 games, 69133 / 187500 positions
  played 2700 games, 70490 / 187500 positions
  played 2750 games, 71771 / 187500 positions
  played 2800 games, 73132 / 187500 positions
  played 2850 games, 74431 / 187500 positions
  played 2900 games, 75758 / 187500 positions
  played 2950 games, 77056 / 187500 positions
  played 3000 games, 78324 / 187500 positions
  played 3050 games, 79638 / 187500 positions
  played 3100 games, 80975 / 187500 positions
  played 3150 games, 82335 / 187500 positions
  played 3200 games, 83651 / 187500 positions
  played 3250 games, 84974 / 187500 positions
  played 3300 games, 86254 / 187500 positions
  played 3350 games, 87519 / 187500 positions
  played 3400 games, 88821 / 187500 positions
  played 3450 games, 90122 / 187500 positions
  played 3500 games, 91413 / 187500 positions
  played 3550 games, 92699 / 187500 positions
  played 3600 games, 94023 / 187500 positions
  played 3650 games, 95383 / 187500 positions
  played 3700 games, 96660 / 187500 positions
  played 3750 games, 98071 / 187500 positions
  played 3800 games, 99339 / 187500 positions
  played 3850 games, 100643 / 187500 positions
  played 3900 games, 101934 / 187500 positions
  played 3950 games, 103234 / 187500 positions
  played 4000 games, 104610 / 187500 positions
  played 4050 games, 105914 / 187500 positions
  played 4100 games, 107189 / 187500 positions
  played 4150 games, 108528 / 187500 positions
  played 4200 games, 109806 / 187500 positions
  played 4250 games, 111069 / 187500 positions
  played 4300 games, 112338 / 187500 positions
  played 4350 games, 113585 / 187500 positions
  played 4400 games, 114925 / 187500 positions
  played 4450 games, 116283 / 187500 positions
  played 4500 games, 117587 / 187500 positions
  played 4550 games, 118912 / 187500 positions
  played 4600 games, 120237 / 187500 positions
  played 4650 games, 121481 / 187500 positions
  played 4700 games, 122759 / 187500 positions
  played 4750 games, 124120 / 187500 positions
  played 4800 games, 125473 / 187500 positions
  played 4850 games, 126831 / 187500 positions
  played 4900 games, 128171 / 187500 positions
  played 4950 games, 129502 / 187500 positions
  played 5000 games, 130746 / 187500 positions
  played 5050 games, 131966 / 187500 positions
  played 5100 games, 133232 / 187500 positions
  played 5150 games, 134566 / 187500 positions
  played 5200 games, 135883 / 187500 positions
  played 5250 games, 137235 / 187500 positions
  played 5300 games, 138569 / 187500 positions
  played 5350 games, 139812 / 187500 positions
  played 5400 games, 141112 / 187500 positions
  played 5450 games, 142466 / 187500 positions
  played 5500 games, 143763 / 187500 positions
  played 5550 games, 145046 / 187500 positions
  played 5600 games, 146390 / 187500 positions
  played 5650 games, 147738 / 187500 positions
  played 5700 games, 149015 / 187500 positions
  played 5750 games, 150310 / 187500 positions
  played 5800 games, 151591 / 187500 positions
  played 5850 games, 152884 / 187500 positions
  played 5900 games, 154240 / 187500 positions
  played 5950 games, 155487 / 187500 positions
  played 6000 games, 156818 / 187500 positions
  played 6050 games, 158072 / 187500 positions
  played 6100 games, 159486 / 187500 positions
  played 6150 games, 160754 / 187500 positions
  played 6200 games, 162034 / 187500 positions
  played 6250 games, 163365 / 187500 positions
  played 6300 games, 164680 / 187500 positions
  played 6350 games, 165975 / 187500 positions
  played 6400 games, 167280 / 187500 positions
  played 6450 games, 168538 / 187500 positions
  played 6500 games, 169821 / 187500 positions
  played 6550 games, 171120 / 187500 positions
  played 6600 games, 172398 / 187500 positions
  played 6650 games, 173679 / 187500 positions
  played 6700 games, 174982 / 187500 positions
  played 6750 games, 176309 / 187500 positions
  played 6800 games, 177585 / 187500 positions
  played 6850 games, 178863 / 187500 positions
  played 6900 games, 180167 / 187500 positions
  played 6950 games, 181498 / 187500 positions
  played 7000 games, 182738 / 187500 positions
  played 7050 games, 184091 / 187500 positions
  played 7100 games, 185386 / 187500 positions
  played 7150 games, 186759 / 187500 positions
wrote 187500 WDL records to /root/jass/jobs/results/ccx33-0313-endgame-data-gen/artefacts.src/self-5.jnnw
