gen-data-wdl: n=37500 out=/root/jass/jobs/results/ccx33-0229-lrclosed-fullfold-d4/artefacts.src/sp5-2.jnnw eval_depth=6 play_depth=4 max_plies=200 seed=8402 nnue=/root/jass/jobs/results/ccx33-0229-lrclosed-fullfold-d4/artefacts.src/gen4.pjtw quiet_only=false pv_extract=0 movetime_ms=0
  played 50 games, 1572 / 37500 positions
  played 100 games, 3082 / 37500 positions
  played 150 games, 4684 / 37500 positions
  played 200 games, 6264 / 37500 positions
  played 250 games, 7789 / 37500 positions
  played 300 games, 9355 / 37500 positions
  played 350 games, 10885 / 37500 positions
  played 400 games, 12442 / 37500 positions
  played 450 games, 13964 / 37500 positions
  played 500 games, 15435 / 37500 positions
  played 550 games, 16972 / 37500 positions
  played 600 games, 18506 / 37500 positions
  played 650 games, 19941 / 37500 positions
  played 700 games, 21475 / 37500 positions
  played 750 games, 22964 / 37500 positions
  played 800 games, 24558 / 37500 positions
  played 850 games, 26048 / 37500 positions
  played 900 games, 27539 / 37500 positions
  played 950 games, 29088 / 37500 positions
  played 1000 games, 30612 / 37500 positions
  played 1050 games, 32260 / 37500 positions
  played 1100 games, 33897 / 37500 positions
  played 1150 games, 35499 / 37500 positions
  played 1200 games, 37016 / 37500 positions
wrote 37500 WDL records to /root/jass/jobs/results/ccx33-0229-lrclosed-fullfold-d4/artefacts.src/sp5-2.jnnw
