gen-data-wdl: n=25000 out=/root/jass/jobs/results/ccx33-0229-lrclosed-fullfold-d4/artefacts.src/sp0-8.jnnw eval_depth=6 play_depth=4 max_plies=200 seed=27743 nnue=(default embedded) quiet_only=false pv_extract=0 movetime_ms=0
  played 50 games, 1449 / 25000 positions
  played 100 games, 2986 / 25000 positions
  played 150 games, 4588 / 25000 positions
  played 200 games, 6222 / 25000 positions
  played 250 games, 7779 / 25000 positions
  played 300 games, 9410 / 25000 positions
  played 350 games, 10963 / 25000 positions
  played 400 games, 12461 / 25000 positions
  played 450 games, 14042 / 25000 positions
  played 500 games, 15586 / 25000 positions
  played 550 games, 17233 / 25000 positions
  played 600 games, 18785 / 25000 positions
  played 650 games, 20388 / 25000 positions
  played 700 games, 21991 / 25000 positions
  played 750 games, 23649 / 25000 positions
wrote 25000 WDL records to /root/jass/jobs/results/ccx33-0229-lrclosed-fullfold-d4/artefacts.src/sp0-8.jnnw
