gen-data-wdl: n=93750 out=/root/jass/jobs/results/cpx62-0314-endgame-data-aug/artefacts.src/self-1.jnnw eval_depth=6 play_depth=8 max_plies=200 seed=107505 nnue=(default embedded) quiet_only=false pv_extract=0 movetime_ms=0 label_depth_by_phase=late-mid:12,endgame:16 play_depth_by_phase=late-mid:12,endgame:16
  played 50 games, 1292 / 93750 positions
  played 100 games, 2658 / 93750 positions
  played 150 games, 3974 / 93750 positions
  played 200 games, 5243 / 93750 positions
  played 250 games, 6570 / 93750 positions
  played 300 games, 7816 / 93750 positions
  played 350 games, 9082 / 93750 positions
  played 400 games, 10397 / 93750 positions
  played 450 games, 11695 / 93750 positions
  played 500 games, 13014 / 93750 positions
  played 550 games, 14308 / 93750 positions
  played 600 games, 15616 / 93750 positions
  played 650 games, 16879 / 93750 positions
  played 700 games, 18173 / 93750 positions
  played 750 games, 19512 / 93750 positions
  played 800 games, 20867 / 93750 positions
  played 850 games, 22176 / 93750 positions
  played 900 games, 23525 / 93750 positions
  played 950 games, 24789 / 93750 positions
  played 1000 games, 26038 / 93750 positions
  played 1050 games, 27344 / 93750 positions
  played 1100 games, 28591 / 93750 positions
  played 1150 games, 29877 / 93750 positions
  played 1200 games, 31106 / 93750 positions
  played 1250 games, 32388 / 93750 positions
  played 1300 games, 33719 / 93750 positions
  played 1350 games, 34982 / 93750 positions
  played 1400 games, 36288 / 93750 positions
  played 1450 games, 37559 / 93750 positions
  played 1500 games, 38817 / 93750 positions
  played 1550 games, 40098 / 93750 positions
  played 1600 games, 41388 / 93750 positions
  played 1650 games, 42740 / 93750 positions
  played 1700 games, 44047 / 93750 positions
  played 1750 games, 45397 / 93750 positions
  played 1800 games, 46723 / 93750 positions
  played 1850 games, 47970 / 93750 positions
  played 1900 games, 49327 / 93750 positions
  played 1950 games, 50629 / 93750 positions
  played 2000 games, 51951 / 93750 positions
  played 2050 games, 53275 / 93750 positions
  played 2100 games, 54591 / 93750 positions
  played 2150 games, 55933 / 93750 positions
  played 2200 games, 57258 / 93750 positions
  played 2250 games, 58572 / 93750 positions
  played 2300 games, 59878 / 93750 positions
  played 2350 games, 61226 / 93750 positions
  played 2400 games, 62527 / 93750 positions
  played 2450 games, 63873 / 93750 positions
  played 2500 games, 65130 / 93750 positions
  played 2550 games, 66463 / 93750 positions
  played 2600 games, 67787 / 93750 positions
  played 2650 games, 69129 / 93750 positions
  played 2700 games, 70445 / 93750 positions
  played 2750 games, 71761 / 93750 positions
  played 2800 games, 73067 / 93750 positions
  played 2850 games, 74451 / 93750 positions
  played 2900 games, 75748 / 93750 positions
  played 2950 games, 77081 / 93750 positions
  played 3000 games, 78392 / 93750 positions
  played 3050 games, 79711 / 93750 positions
  played 3100 games, 81053 / 93750 positions
  played 3150 games, 82338 / 93750 positions
  played 3200 games, 83607 / 93750 positions
  played 3250 games, 84890 / 93750 positions
  played 3300 games, 86202 / 93750 positions
  played 3350 games, 87563 / 93750 positions
  played 3400 games, 88896 / 93750 positions
  played 3450 games, 90184 / 93750 positions
  played 3500 games, 91473 / 93750 positions
  played 3550 games, 92775 / 93750 positions
wrote 93750 WDL records to /root/jass/jobs/results/cpx62-0314-endgame-data-aug/artefacts.src/self-1.jnnw
