gen-data-wdl: n=37500 out=/root/jass/jobs/results/ccx33-0231-rfe-baseline32/artefacts.src/sp8-1.jnnw eval_depth=6 play_depth=4 max_plies=200 seed=17654 nnue=/root/jass/jobs/results/ccx33-0231-rfe-baseline32/artefacts.src/gen7.pjtw quiet_only=false pv_extract=0 movetime_ms=0
  played 50 games, 1563 / 37500 positions
  played 100 games, 3172 / 37500 positions
  played 150 games, 4958 / 37500 positions
  played 200 games, 6640 / 37500 positions
  played 250 games, 8406 / 37500 positions
  played 300 games, 10053 / 37500 positions
  played 350 games, 11644 / 37500 positions
  played 400 games, 13189 / 37500 positions
  played 450 games, 14798 / 37500 positions
  played 500 games, 16486 / 37500 positions
  played 550 games, 18163 / 37500 positions
  played 600 games, 19675 / 37500 positions
  played 650 games, 21231 / 37500 positions
  played 700 games, 22806 / 37500 positions
  played 750 games, 24420 / 37500 positions
  played 800 games, 26044 / 37500 positions
  played 850 games, 27666 / 37500 positions
  played 900 games, 29314 / 37500 positions
  played 950 games, 30952 / 37500 positions
  played 1000 games, 32528 / 37500 positions
  played 1050 games, 34195 / 37500 positions
  played 1100 games, 35899 / 37500 positions
  played 1150 games, 37497 / 37500 positions
wrote 37500 WDL records to /root/jass/jobs/results/ccx33-0231-rfe-baseline32/artefacts.src/sp8-1.jnnw
