gen-data-wdl: n=25000 out=/root/jass/jobs/results/ccx33-0231-rfe-baseline32/artefacts.src/sp0-6.jnnw eval_depth=6 play_depth=4 max_plies=200 seed=30454 nnue=(default embedded) quiet_only=false pv_extract=0 movetime_ms=0
  played 50 games, 1631 / 25000 positions
  played 100 games, 3181 / 25000 positions
  played 150 games, 4751 / 25000 positions
  played 200 games, 6207 / 25000 positions
  played 250 games, 7720 / 25000 positions
  played 300 games, 9232 / 25000 positions
  played 350 games, 10750 / 25000 positions
  played 400 games, 12229 / 25000 positions
  played 450 games, 13853 / 25000 positions
  played 500 games, 15319 / 25000 positions
  played 550 games, 16884 / 25000 positions
  played 600 games, 18471 / 25000 positions
  played 650 games, 20024 / 25000 positions
  played 700 games, 21511 / 25000 positions
  played 750 games, 23127 / 25000 positions
  played 800 games, 24753 / 25000 positions
wrote 25000 WDL records to /root/jass/jobs/results/ccx33-0231-rfe-baseline32/artefacts.src/sp0-6.jnnw
