gen-data-wdl: n=25000 out=/root/jass/jobs/results/ccx33-0231-rfe-baseline32/artefacts.src/sp0-2.jnnw eval_depth=6 play_depth=4 max_plies=200 seed=29504 nnue=(default embedded) quiet_only=false pv_extract=0 movetime_ms=0
  played 50 games, 1531 / 25000 positions
  played 100 games, 3095 / 25000 positions
  played 150 games, 4610 / 25000 positions
  played 200 games, 6244 / 25000 positions
  played 250 games, 7813 / 25000 positions
  played 300 games, 9375 / 25000 positions
  played 350 games, 10981 / 25000 positions
  played 400 games, 12550 / 25000 positions
  played 450 games, 14165 / 25000 positions
  played 500 games, 15707 / 25000 positions
  played 550 games, 17365 / 25000 positions
  played 600 games, 18975 / 25000 positions
  played 650 games, 20481 / 25000 positions
  played 700 games, 21998 / 25000 positions
  played 750 games, 23611 / 25000 positions
wrote 25000 WDL records to /root/jass/jobs/results/ccx33-0231-rfe-baseline32/artefacts.src/sp0-2.jnnw
