gen-data-wdl: n=37500 out=/root/jass/jobs/results/ccx33-0231-rfe-baseline32/artefacts.src/sp2-2.jnnw eval_depth=6 play_depth=4 max_plies=200 seed=21213 nnue=/root/jass/jobs/results/ccx33-0231-rfe-baseline32/artefacts.src/gen1.pjtw quiet_only=false pv_extract=0 movetime_ms=0
  played 50 games, 1507 / 37500 positions
  played 100 games, 3004 / 37500 positions
  played 150 games, 4555 / 37500 positions
  played 200 games, 6164 / 37500 positions
  played 250 games, 7720 / 37500 positions
  played 300 games, 9222 / 37500 positions
  played 350 games, 10836 / 37500 positions
  played 400 games, 12367 / 37500 positions
  played 450 games, 14041 / 37500 positions
  played 500 games, 15548 / 37500 positions
  played 550 games, 17112 / 37500 positions
  played 600 games, 18703 / 37500 positions
  played 650 games, 20414 / 37500 positions
  played 700 games, 22019 / 37500 positions
  played 750 games, 23572 / 37500 positions
  played 800 games, 25215 / 37500 positions
  played 850 games, 26885 / 37500 positions
  played 900 games, 28478 / 37500 positions
  played 950 games, 30071 / 37500 positions
  played 1000 games, 31699 / 37500 positions
  played 1050 games, 33251 / 37500 positions
  played 1100 games, 34743 / 37500 positions
  played 1150 games, 36227 / 37500 positions
wrote 37500 WDL records to /root/jass/jobs/results/ccx33-0231-rfe-baseline32/artefacts.src/sp2-2.jnnw
