input : /root/jass/jobs/results/0131-phase3-scan-bootstrap-full/artefacts.src/master-sample-1500K.jnnw (1500000 records, processing 187500 from offset 750000)
  75000/187500  (40.0%)  rate=201.9 pos/s  eta=9.3 min  skipped=14129
  76000/187500  (40.5%)  rate=201.6 pos/s  eta=9.2 min  skipped=14317
  77000/187500  (41.1%)  rate=201.6 pos/s  eta=9.1 min  skipped=14513
  78000/187500  (41.6%)  rate=201.5 pos/s  eta=9.1 min  skipped=14703
  79000/187500  (42.1%)  rate=201.4 pos/s  eta=9.0 min  skipped=14904
  80000/187500  (42.7%)  rate=201.1 pos/s  eta=8.9 min  skipped=15083
  81000/187500  (43.2%)  rate=200.9 pos/s  eta=8.8 min  skipped=15265
  82000/187500  (43.7%)  rate=200.8 pos/s  eta=8.8 min  skipped=15450
  83000/187500  (44.3%)  rate=200.8 pos/s  eta=8.7 min  skipped=15621
  84000/187500  (44.8%)  rate=201.0 pos/s  eta=8.6 min  skipped=15829
  85000/187500  (45.3%)  rate=201.1 pos/s  eta=8.5 min  skipped=16015
  86000/187500  (45.9%)  rate=201.2 pos/s  eta=8.4 min  skipped=16229
  87000/187500  (46.4%)  rate=201.3 pos/s  eta=8.3 min  skipped=16453
  88000/187500  (46.9%)  rate=201.4 pos/s  eta=8.2 min  skipped=16630
  89000/187500  (47.5%)  rate=201.4 pos/s  eta=8.2 min  skipped=16814
  90000/187500  (48.0%)  rate=201.4 pos/s  eta=8.1 min  skipped=16991
  91000/187500  (48.5%)  rate=201.5 pos/s  eta=8.0 min  skipped=17169
  92000/187500  (49.1%)  rate=201.6 pos/s  eta=7.9 min  skipped=17362
  93000/187500  (49.6%)  rate=201.6 pos/s  eta=7.8 min  skipped=17546
  94000/187500  (50.1%)  rate=201.5 pos/s  eta=7.7 min  skipped=17742
  95000/187500  (50.7%)  rate=201.6 pos/s  eta=7.6 min  skipped=17932
  96000/187500  (51.2%)  rate=201.7 pos/s  eta=7.6 min  skipped=18117
  97000/187500  (51.7%)  rate=201.7 pos/s  eta=7.5 min  skipped=18315
  98000/187500  (52.3%)  rate=201.9 pos/s  eta=7.4 min  skipped=18491
  99000/187500  (52.8%)  rate=201.9 pos/s  eta=7.3 min  skipped=18699
  100000/187500  (53.3%)  rate=201.8 pos/s  eta=7.2 min  skipped=18884
  101000/187500  (53.9%)  rate=201.8 pos/s  eta=7.1 min  skipped=19063
  102000/187500  (54.4%)  rate=201.7 pos/s  eta=7.1 min  skipped=19250
  103000/187500  (54.9%)  rate=201.6 pos/s  eta=7.0 min  skipped=19443
  104000/187500  (55.5%)  rate=201.6 pos/s  eta=6.9 min  skipped=19617
  105000/187500  (56.0%)  rate=201.6 pos/s  eta=6.8 min  skipped=19797
  106000/187500  (56.5%)  rate=201.8 pos/s  eta=6.7 min  skipped=19989
  107000/187500  (57.1%)  rate=201.9 pos/s  eta=6.6 min  skipped=20171
  108000/187500  (57.6%)  rate=201.9 pos/s  eta=6.6 min  skipped=20354
  109000/187500  (58.1%)  rate=201.9 pos/s  eta=6.5 min  skipped=20558
  110000/187500  (58.7%)  rate=202.0 pos/s  eta=6.4 min  skipped=20740
  111000/187500  (59.2%)  rate=202.1 pos/s  eta=6.3 min  skipped=20934
  112000/187500  (59.7%)  rate=202.1 pos/s  eta=6.2 min  skipped=21123
  113000/187500  (60.3%)  rate=202.1 pos/s  eta=6.1 min  skipped=21320
  114000/187500  (60.8%)  rate=202.3 pos/s  eta=6.1 min  skipped=21507
  115000/187500  (61.3%)  rate=202.5 pos/s  eta=6.0 min  skipped=21700
  116000/187500  (61.9%)  rate=202.5 pos/s  eta=5.9 min  skipped=21897
  117000/187500  (62.4%)  rate=202.5 pos/s  eta=5.8 min  skipped=22098
  118000/187500  (62.9%)  rate=202.6 pos/s  eta=5.7 min  skipped=22300
  119000/187500  (63.5%)  rate=202.6 pos/s  eta=5.6 min  skipped=22494
  120000/187500  (64.0%)  rate=202.6 pos/s  eta=5.6 min  skipped=22692
  121000/187500  (64.5%)  rate=202.5 pos/s  eta=5.5 min  skipped=22898
  122000/187500  (65.1%)  rate=202.6 pos/s  eta=5.4 min  skipped=23090
  123000/187500  (65.6%)  rate=202.5 pos/s  eta=5.3 min  skipped=23293
  124000/187500  (66.1%)  rate=202.6 pos/s  eta=5.2 min  skipped=23484
  125000/187500  (66.7%)  rate=202.6 pos/s  eta=5.1 min  skipped=23659
  126000/187500  (67.2%)  rate=202.5 pos/s  eta=5.1 min  skipped=23839
  127000/187500  (67.7%)  rate=202.6 pos/s  eta=5.0 min  skipped=24049
  128000/187500  (68.3%)  rate=202.6 pos/s  eta=4.9 min  skipped=24227
  129000/187500  (68.8%)  rate=202.6 pos/s  eta=4.8 min  skipped=24423
  130000/187500  (69.3%)  rate=202.6 pos/s  eta=4.7 min  skipped=24605
  131000/187500  (69.9%)  rate=202.7 pos/s  eta=4.6 min  skipped=24794
  132000/187500  (70.4%)  rate=202.6 pos/s  eta=4.6 min  skipped=24967
  133000/187500  (70.9%)  rate=202.6 pos/s  eta=4.5 min  skipped=25153
  134000/187500  (71.5%)  rate=202.6 pos/s  eta=4.4 min  skipped=25361
  135000/187500  (72.0%)  rate=202.4 pos/s  eta=4.3 min  skipped=25518
  136000/187500  (72.5%)  rate=202.3 pos/s  eta=4.2 min  skipped=25710
  137000/187500  (73.1%)  rate=202.3 pos/s  eta=4.2 min  skipped=25885
  138000/187500  (73.6%)  rate=202.2 pos/s  eta=4.1 min  skipped=26067
  139000/187500  (74.1%)  rate=202.2 pos/s  eta=4.0 min  skipped=26246
  140000/187500  (74.7%)  rate=202.0 pos/s  eta=3.9 min  skipped=26428
  141000/187500  (75.2%)  rate=201.9 pos/s  eta=3.8 min  skipped=26618
  142000/187500  (75.7%)  rate=201.6 pos/s  eta=3.8 min  skipped=26815
  143000/187500  (76.3%)  rate=201.5 pos/s  eta=3.7 min  skipped=26988
  144000/187500  (76.8%)  rate=201.4 pos/s  eta=3.6 min  skipped=27203
  145000/187500  (77.3%)  rate=201.4 pos/s  eta=3.5 min  skipped=27399
  146000/187500  (77.9%)  rate=201.3 pos/s  eta=3.4 min  skipped=27581
  147000/187500  (78.4%)  rate=201.3 pos/s  eta=3.4 min  skipped=27789
  148000/187500  (78.9%)  rate=201.3 pos/s  eta=3.3 min  skipped=27991
  149000/187500  (79.5%)  rate=201.2 pos/s  eta=3.2 min  skipped=28177
  150000/187500  (80.0%)  rate=201.3 pos/s  eta=3.1 min  skipped=28372
  151000/187500  (80.5%)  rate=201.2 pos/s  eta=3.0 min  skipped=28586
  152000/187500  (81.1%)  rate=201.2 pos/s  eta=2.9 min  skipped=28781
  153000/187500  (81.6%)  rate=201.2 pos/s  eta=2.9 min  skipped=28978
  154000/187500  (82.1%)  rate=201.1 pos/s  eta=2.8 min  skipped=29159
  155000/187500  (82.7%)  rate=201.2 pos/s  eta=2.7 min  skipped=29342
  156000/187500  (83.2%)  rate=201.1 pos/s  eta=2.6 min  skipped=29524
  157000/187500  (83.7%)  rate=201.1 pos/s  eta=2.5 min  skipped=29707
  158000/187500  (84.3%)  rate=201.1 pos/s  eta=2.4 min  skipped=29889
  159000/187500  (84.8%)  rate=201.0 pos/s  eta=2.4 min  skipped=30078
  160000/187500  (85.3%)  rate=201.1 pos/s  eta=2.3 min  skipped=30270
  161000/187500  (85.9%)  rate=201.0 pos/s  eta=2.2 min  skipped=30438
  162000/187500  (86.4%)  rate=201.0 pos/s  eta=2.1 min  skipped=30596
  163000/187500  (86.9%)  rate=201.1 pos/s  eta=2.0 min  skipped=30797
  164000/187500  (87.5%)  rate=201.1 pos/s  eta=1.9 min  skipped=30979
  165000/187500  (88.0%)  rate=201.2 pos/s  eta=1.9 min  skipped=31179
  166000/187500  (88.5%)  rate=201.1 pos/s  eta=1.8 min  skipped=31359
  167000/187500  (89.1%)  rate=201.0 pos/s  eta=1.7 min  skipped=31535
  168000/187500  (89.6%)  rate=201.1 pos/s  eta=1.6 min  skipped=31708
  169000/187500  (90.1%)  rate=201.1 pos/s  eta=1.5 min  skipped=31888
  170000/187500  (90.7%)  rate=201.1 pos/s  eta=1.5 min  skipped=32067
