opening	W:W27,28,32,33,35,37,38,40,41,42,43,45,46,47,48:B2,3,4,7,8,12,13,15,16,17,18,19,20,23,24
opening	W:W28,31,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50:B1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,19,20,22
opening	W:W28,31,32,33,34,35,36,38,39,40,41,43,45,47,48,49:B2,3,4,5,6,7,9,11,13,14,15,16,17,18,19,24
opening	B:W25,26,29,33,35,36,37,38,39,41,42,43,45,46,47,48:B3,6,7,8,9,10,11,12,13,14,16,17,18,19,23,24
opening	B:W26,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50:B1,2,3,4,5,6,7,8,9,10,11,13,14,15,16,18,19,20,21
opening	W:W25,28,30,31,32,33,35,36,37,38,39,41,43,44,45,46,47,48,49,50:B1,2,3,4,5,6,7,8,9,10,13,14,15,16,18,19,21,23,24,26
midgame	B:W18,26,28,32,33,38,39,40,42,44,45,48:B7,8,9,13,15,16,17,21,24
midgame	W:W31,35,36,37,38,39,40,43,44,45,48:B4,9,11,13,14,15,20,21,24,25,26
midgame	B:W27,28,32,34,35,36,38,39,42,43,45:B3,13,15,16,18,19,20,21,23,24,26
midgame	B:W24,25,30,32,34,35,36,37,38,42,43:B6,13,14,16,17,18,19,21,23,26
midgame	B:W22,28,29,32,33,34,36,38,39,41,43,45,46,48:B3,4,6,7,8,11,13,15,16,17,20,21,25,30
midgame	W:W29,31,33,34,36,37,39,41,43,44,45,49:B2,3,4,6,15,17,18,19,20,21,22,25,32
endgame	W:W21,26,34,38,43,47:B2,4,7,11,18,24
endgame	W:WK4,K46:B15,K26,K27
endgame	W:WK50:B15,K25,K41
endgame	B:W47,48,K30:B3,5,16,K45
endgame	B:W26,40,47,K38:B17,22,23,36,K46
endgame	B:W6,27,32,35,38:B3,8,24,K44
