gen-data-wdl: n=18750 out=/root/jass/jobs/results/cpx62-0297-saturate-loop/artefacts.src/sp0-10.jnnw eval_depth=6 play_depth=8 max_plies=200 seed=9288 nnue=(default embedded) quiet_only=false pv_extract=0 movetime_ms=0 label_depth_by_phase=late-mid:12,endgame:16 play_depth_by_phase=late-mid:12,endgame:16
  played 50 games, 1315 / 18750 positions
  played 100 games, 2650 / 18750 positions
  played 150 games, 3915 / 18750 positions
  played 200 games, 5216 / 18750 positions
  played 250 games, 6544 / 18750 positions
  played 300 games, 7790 / 18750 positions
  played 350 games, 9107 / 18750 positions
  played 400 games, 10332 / 18750 positions
  played 450 games, 11664 / 18750 positions
  played 500 games, 13010 / 18750 positions
  played 550 games, 14320 / 18750 positions
  played 600 games, 15601 / 18750 positions
  played 650 games, 16902 / 18750 positions
  played 700 games, 18229 / 18750 positions
wrote 18750 WDL records to /root/jass/jobs/results/cpx62-0297-saturate-loop/artefacts.src/sp0-10.jnnw
