gen-data-wdl: n=31250 out=/root/jass/jobs/results/cpx62-0297-saturate-loop/artefacts.src/sp5-8.jnnw eval_depth=6 play_depth=8 max_plies=200 seed=9611 nnue=/root/jass/jobs/results/cpx62-0297-saturate-loop/artefacts.src/gen4.pjtw quiet_only=false pv_extract=0 movetime_ms=0 label_depth_by_phase=late-mid:12,endgame:16 play_depth_by_phase=late-mid:12,endgame:16
  played 50 games, 1357 / 31250 positions
  played 100 games, 2688 / 31250 positions
  played 150 games, 3978 / 31250 positions
  played 200 games, 5390 / 31250 positions
  played 250 games, 6749 / 31250 positions
  played 300 games, 8085 / 31250 positions
  played 350 games, 9440 / 31250 positions
  played 400 games, 10694 / 31250 positions
  played 450 games, 12030 / 31250 positions
  played 500 games, 13296 / 31250 positions
  played 550 games, 14655 / 31250 positions
  played 600 games, 15950 / 31250 positions
  played 650 games, 17237 / 31250 positions
  played 700 games, 18580 / 31250 positions
  played 750 games, 19853 / 31250 positions
  played 800 games, 21152 / 31250 positions
  played 850 games, 22517 / 31250 positions
  played 900 games, 23843 / 31250 positions
  played 950 games, 25159 / 31250 positions
  played 1000 games, 26470 / 31250 positions
  played 1050 games, 27812 / 31250 positions
  played 1100 games, 29106 / 31250 positions
  played 1150 games, 30433 / 31250 positions
wrote 31250 WDL records to /root/jass/jobs/results/cpx62-0297-saturate-loop/artefacts.src/sp5-8.jnnw
