gen-data-wdl: n=31250 out=/root/jass/jobs/results/cpx62-0297-saturate-loop/artefacts.src/sp3-3.jnnw eval_depth=6 play_depth=8 max_plies=200 seed=7666 nnue=/root/jass/jobs/results/cpx62-0297-saturate-loop/artefacts.src/gen2.pjtw quiet_only=false pv_extract=0 movetime_ms=0 label_depth_by_phase=late-mid:12,endgame:16 play_depth_by_phase=late-mid:12,endgame:16
  played 50 games, 1353 / 31250 positions
  played 100 games, 2727 / 31250 positions
  played 150 games, 4032 / 31250 positions
  played 200 games, 5428 / 31250 positions
  played 250 games, 6741 / 31250 positions
  played 300 games, 7971 / 31250 positions
  played 350 games, 9353 / 31250 positions
  played 400 games, 10587 / 31250 positions
  played 450 games, 12010 / 31250 positions
  played 500 games, 13345 / 31250 positions
  played 550 games, 14691 / 31250 positions
  played 600 games, 16019 / 31250 positions
  played 650 games, 17393 / 31250 positions
  played 700 games, 18715 / 31250 positions
  played 750 games, 20023 / 31250 positions
  played 800 games, 21385 / 31250 positions
  played 850 games, 22758 / 31250 positions
  played 900 games, 24070 / 31250 positions
  played 950 games, 25412 / 31250 positions
  played 1000 games, 26707 / 31250 positions
  played 1050 games, 28043 / 31250 positions
  played 1100 games, 29441 / 31250 positions
  played 1150 games, 30853 / 31250 positions
wrote 31250 WDL records to /root/jass/jobs/results/cpx62-0297-saturate-loop/artefacts.src/sp3-3.jnnw
