gen-data-wdl: n=30000 out=/root/jass/jobs/results/cpx62-0373-virtuous-loop-deep/artefacts.src/sp2.2.jnnw eval_depth=4 play_depth=10 max_plies=200 seed=140857698 nnue=/root/jass/jobs/results/cpx62-0373-virtuous-loop-deep/artefacts.src/gen1.pjtw quiet_only=false pv_extract=0 movetime_ms=0 label_depth_by_phase=(uniform eval_depth) play_depth_by_phase=(uniform play_depth)
  played 50 games, 1742 / 30000 positions
  played 100 games, 3600 / 30000 positions
  played 150 games, 5205 / 30000 positions
  played 200 games, 7105 / 30000 positions
  played 250 games, 8772 / 30000 positions
  played 300 games, 10511 / 30000 positions
  played 350 games, 12226 / 30000 positions
  played 400 games, 14005 / 30000 positions
  played 450 games, 15754 / 30000 positions
  played 500 games, 17469 / 30000 positions
  played 550 games, 19232 / 30000 positions
  played 600 games, 20932 / 30000 positions
  played 650 games, 22682 / 30000 positions
  played 700 games, 24377 / 30000 positions
  played 750 games, 26008 / 30000 positions
  played 800 games, 27827 / 30000 positions
  played 850 games, 29627 / 30000 positions
wrote 30000 WDL records to /root/jass/jobs/results/cpx62-0373-virtuous-loop-deep/artefacts.src/sp2.2.jnnw
