gen-data-wdl: n=30000 out=/root/jass/jobs/results/cpx62-0373-virtuous-loop-deep/artefacts.src/sp1.10.jnnw eval_depth=4 play_depth=10 max_plies=200 seed=268872031 nnue=/root/jass/jobs/results/cpx62-0373-virtuous-loop-deep/artefacts.src/gen0.pjtw quiet_only=false pv_extract=0 movetime_ms=0 label_depth_by_phase=(uniform eval_depth) play_depth_by_phase=(uniform play_depth)
  played 50 games, 1596 / 30000 positions
  played 100 games, 3265 / 30000 positions
  played 150 games, 4838 / 30000 positions
  played 200 games, 6561 / 30000 positions
  played 250 games, 8142 / 30000 positions
  played 300 games, 9752 / 30000 positions
  played 350 games, 11345 / 30000 positions
  played 400 games, 13069 / 30000 positions
  played 450 games, 14767 / 30000 positions
  played 500 games, 16402 / 30000 positions
  played 550 games, 18053 / 30000 positions
  played 600 games, 19634 / 30000 positions
  played 650 games, 21252 / 30000 positions
  played 700 games, 22830 / 30000 positions
  played 750 games, 24547 / 30000 positions
  played 800 games, 26234 / 30000 positions
  played 850 games, 27921 / 30000 positions
  played 900 games, 29521 / 30000 positions
wrote 30000 WDL records to /root/jass/jobs/results/cpx62-0373-virtuous-loop-deep/artefacts.src/sp1.10.jnnw
