input : /root/jass/jobs/results/0160-gen-more-data-3M/artefacts.src/selfplay-3M.jnnw (3000000 records, processing 375000 from offset 0, drop_skipped=True)
  94000/375000  (25.1%)  rate=203.1 pos/s  eta=23.1 min  written=84575 skipped=9425
  96000/375000  (25.6%)  rate=203.1 pos/s  eta=22.9 min  written=86392 skipped=9608
  98000/375000  (26.1%)  rate=203.1 pos/s  eta=22.7 min  written=88193 skipped=9807
  99000/375000  (26.4%)  rate=203.1 pos/s  eta=22.6 min  written=89075 skipped=9925
  100000/375000  (26.7%)  rate=203.2 pos/s  eta=22.6 min  written=89983 skipped=10017
  102000/375000  (27.2%)  rate=203.1 pos/s  eta=22.4 min  written=91774 skipped=10226
  104000/375000  (27.7%)  rate=203.0 pos/s  eta=22.2 min  written=93586 skipped=10414
  105000/375000  (28.0%)  rate=203.0 pos/s  eta=22.2 min  written=94489 skipped=10511
  106000/375000  (28.3%)  rate=203.1 pos/s  eta=22.1 min  written=95415 skipped=10585
  107000/375000  (28.5%)  rate=203.0 pos/s  eta=22.0 min  written=96307 skipped=10693
  108000/375000  (28.8%)  rate=203.1 pos/s  eta=21.9 min  written=97219 skipped=10781
  109000/375000  (29.1%)  rate=203.0 pos/s  eta=21.8 min  written=98103 skipped=10897
  110000/375000  (29.3%)  rate=203.1 pos/s  eta=21.7 min  written=98991 skipped=11009
  111000/375000  (29.6%)  rate=203.0 pos/s  eta=21.7 min  written=99878 skipped=11122
  112000/375000  (29.9%)  rate=203.0 pos/s  eta=21.6 min  written=100766 skipped=11234
  113000/375000  (30.1%)  rate=203.0 pos/s  eta=21.5 min  written=101654 skipped=11346
  114000/375000  (30.4%)  rate=203.0 pos/s  eta=21.4 min  written=102546 skipped=11454
  115000/375000  (30.7%)  rate=203.0 pos/s  eta=21.3 min  written=103433 skipped=11567
  116000/375000  (30.9%)  rate=203.1 pos/s  eta=21.3 min  written=104309 skipped=11691
  117000/375000  (31.2%)  rate=203.1 pos/s  eta=21.2 min  written=105217 skipped=11783
  118000/375000  (31.5%)  rate=203.1 pos/s  eta=21.1 min  written=106125 skipped=11875
  119000/375000  (31.7%)  rate=203.1 pos/s  eta=21.0 min  written=107039 skipped=11961
  120000/375000  (32.0%)  rate=203.1 pos/s  eta=20.9 min  written=107919 skipped=12081
  121000/375000  (32.3%)  rate=203.1 pos/s  eta=20.8 min  written=108803 skipped=12197
  122000/375000  (32.5%)  rate=203.1 pos/s  eta=20.8 min  written=109693 skipped=12307
  123000/375000  (32.8%)  rate=203.1 pos/s  eta=20.7 min  written=110587 skipped=12413
  125000/375000  (33.3%)  rate=202.8 pos/s  eta=20.5 min  written=112424 skipped=12576
  126000/375000  (33.6%)  rate=202.9 pos/s  eta=20.5 min  written=113313 skipped=12687
  127000/375000  (33.9%)  rate=202.9 pos/s  eta=20.4 min  written=114220 skipped=12780
